Japanese,English
の,of
に,to
する,do
は,teeth
を,of
が,but
と,and
年,year
で,in
だ,is
月,month
も,too
から,from
日,day
成る,become
こと,thing
有る,Yes
よる,evening
や,or
など,etc.
言う,say
日本,Japan
為,for the sake of
この,this
人,people
その,the
まで,to
もの,thing
へ,fart
又,also
これ,this
行う,conduct
よう,Yo
出来る,I can do it
駅,station
国,country
より,twist
大学,university
現在,the current
後,rear
か,mosquito
線,line
ぬ,Nu
放送,broadcast
号,issue
軍,army
無い,None
部,Department
持つ,have
所,place
名,given name
回,times
世界,world
時,time
戦,war
時代,era
東京,Tokyo
おく,put
でも,but
呼ぶ,call
その後,after that
会,Association
それ,that
機,machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,against
しかし,but
つく,arrive
昭和,Showa era
作品,the work
地,earth
中,Medium
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,company
川,river
映画,movie
位,rank
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,existence
活動,activity
発売,Release
他,others
出身,Birthplace
年代,era
会社,company
権,right
開発,development
分,minutes
西,west
鉄道,railway
法,law
局,station
更に,Furthermore
のみ,only
間,between
山,mountain
式,formula
島,island
なお,In addition
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,region
作,Made by
事,case
版,edition
取る,take
登場,appearance
チーム,team
世,world
時間,time
於ける,in
中心,center
大会,tournament
多く,many
南,south
シリーズ,series
賞,award
北,north
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,child
ゲーム,game
道,road
角,corner
用いる,use
および,and
館,Hall
場,place
体,body
世紀,century
音楽,music
参加,Participate
発表,announcement
記録,record
掛ける,hang
高い,expensive
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,born
入る,enter
度,degree
州,state
全て,all
明治,Meiji
生,raw
点,point
力,force
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,Victory
都市,City
含む,include
アルバム,album
込む,enter
問題,problem
シーズン,season
開催,held
大阪,Osaka
位置,position
監督,director
上,above
主,main
設置,Installation
郡,county
戦争,war
物,thing
艦,ship
地方,region
隊,squad
期,Period
城,castle
にて,At
長,long
計画,plan
番,number
必要,need
出す,put out
一般,General
変更,change
本,book
中央,center
関する,related
出る,come out
出演,Appearance
作る,make
基,basis
事業,business
委員,committee member
バス,bus
市,city
以下,below
社会,society
教育,education
事件,incident
特に,especially
卒業,graduation
役,role
当初,Initially
結果,result
選挙,election
機関,institution
大きい,big
高等,high school
獲得,acquisition
政府,government
戦う,fight
中国,China
最初,first
設立,Establishment
置く,put
種,seed
金,gold
建設,construction
派,sect
続く,Continue
影響,influence
文化,culture
科,Department
外,outside
デビュー,debut
台,stand
情報,information
そして,and
航空,aviation
村,village
政治,politics
同様,similar
販売,sale
面,surface
異なる,different
担当,in charge
最も,most
寺,temple
攻撃,attack
人口,population
ながら,While
及び,and
区,Ward
馬,horse
プロ,professional
経済,economy
付ける,wear
地区,district
与える,give
それぞれ,each
年間,yearly
水,water
構成,composition
路線,route
射る,shoot
アメリカ合衆国,united states of america
米,rice
採用,Recruitment
伴う,accompany
主義,principle
上げる,increase
グループ,group
女性,woman
手,hand
システム,system
歴史,history
意味,meaning
一方,on the other hand
元,Former
県,prefecture
続ける,continue
技術,technology
当たる,hit
うち,home
海軍,navy
公,public
発生,occurrence
製造,manufacturing
自身,himself
車両,vehicle
光,light
話,story
野球,baseball
調査,investigation
船,boat
シングル,single
勝,Victory
列車,train
正,Positive
父,father
活躍,Active
省,Ministry
終了,end
文,sentence
初,first time
全国,Nationwide
収録,Recording
人物,person
ロシア,Russia
渡る,cross
制作,production
就任,Appointment
最後,last
書く,write
下,under
エンジン,engine
状態,situation
かつて,Once upon a time
形,shape
殆んど,Almost
橋,bridge
決定,decision
経る,go through
組織,organization
イタリア,Italy
朝,morning
帝国,empire
生産,production
果たす,fulfill
株式,stock
海,sea
神,God
年度,year
モデル,model
描く,draw
道路,road
制,system
次,Next
但し,however
議員,Member of Parliament
京都,Kyoto
部分,portion
漫画,comics
最大,maximum
名称,name
石,stone
員,member
独立,independence
書,calligraphy
施設,facility
場所,place
県道,Prefectural road
始まる,begins
示す,show
以降,onwards
様々,Various
大きな,big
クラブ,club
機能,function
天,Heaven
サッカー,soccer
部隊,troops
搭載,mounted
初めて,first time
兵,soldier
高校,high school
公開,public
党,party
編成,organization
運動,motion
量,amount
時期,season
センター,center
製作,production
藩,domain
強い,strong
企業,company
受賞,Award
付く,attached
院,Hospital
店,shop
戦闘,battle
結ぶ,tie
目的,the purpose
通常,usually
対応,correspondence
残る,remain
勝利,victory
ホーム,Home
管理,management
至る,reach
団,group
木,tree
最終,final
基本,basic
教授,professor
ドラマ,drama
挙げる,list
構造,structure
作曲,Composition
アニメ,anime
設計,design
実施,implementation
現,current
長い,long
メンバー,member
領,territory
交通,traffic
室,room
協会,association
女子,girls
者,person
設定,setting
発見,discovery
契約,contract
信,Faith
英語,English
生活,life
連合,union
自動車,car
指揮,command
色,color
自分,myself
及ぶ,extend
ラジオ,radio
歌,song
重,heavy
規模,scale
移籍,transfer
思う,think
廃止,abolition
名前,name
重要,important
成功,success
原,original
予定,schedule
特別,special
認める,admit
キャラクター,character
巻,volume
最高,the best
加える,add
ここ,here
バンド,band
再び,again
武,Takeshi
実際,actual
そこ,There
似る,similar
組,set
運転,driving
専門,specialty
出版,publication
内容,Content
煎る,roast
個,pieces
小学校,primary school
義,righteousness
数,number
終わる,end
例,example
リリース,release
合わせる,match
大戦,Great War
科学,science
運行,Operation
対,versus
北海道,Hokkaido
士,scholar
ヨーロッパ,Europe
群,group
少ない,few
指定,designation
江戸,Edo
ところ,place
陸軍,army
残す,leave
教会,church
期間,period
共和,republic
前,before
国家,nation
連続,continuous
門,gate
導入,introduction
記念,memorial
団体,group
結成,formation
特徴,Features
または,or
表記,Notation
平,flat
校,school
宇宙,universe
総合,comprehensive
死去,passed away
小説,novel
大統領,president
公園,park
タイトル,title
カード,card
警察,police
形式,format
競技,competition
結婚,marriage
参照,reference
係わる,be involved
夏,summer
ローマ,rome
国民,people
中学校,junior high school
評価,evaluation
オリンピック,Olympic
新た,new
運営,operation
選ぶ,choose
完全,complete
連邦,federal
経営,management
条,article
指導,guidance
会議,meeting
谷,valley
決勝,final
英,English
先,destination
展開,Deployment
完成,Completion
品,Goods
多数,many
別,another
周辺,neighborhood
子供,child
対象,subject
事務,Office work
概要,overview
提供,offer
飛行,flight
進む,move on
天皇,emperor
田,Field
娘,daughter
マン,man
市立,municipal
サービス,service
ほぼ,almost
向かう,heading towards
扱う,handle
引退,retirement
あるいは,or
求める,demand
同時に,at the same time
男,man
理由,reason
人気,Popularity
族,tribe
作戦,strategy
円,circle
勝つ,win
非常,emergency
頭,head
音,sound
除く,except
デザイン,design
議会,parliament
政,Government
人間,human
公式,official
しか,deer
編,Edited
初期,initial
環境,environment
星,star
流れる,flowing
彼女,she
誌,magazine
時点,point in time
レース,race
通り,street
打,Hit
全体,whole
自由,freedom
座,seat
労働,labor
表示,display
例えば,for example
和,sum
発行,issue
自治,autonomy
裁判,trial
方法,method
支援,support
共同,joint
文字,character
その他,others
関連,connection
新しい,new
国道,national highway
左,left
スポーツ,sports
値,value
広島,Hiroshima
スペイン,Spain
営業,sales
花,flower
行,line
母,mother
様,Mr.
輸送,transportation
野,field
屋,shop
説,theory
舞台,stage
以前,Previously
方面,direction
合併,merger
アジア,Asia
演奏,performance
工業,industry
建築,architecture
春,spring
法人,Corporation
圏,sphere
街,city
いずれ,Someday
データ,data
送る,send
運用,Operation
高速,high speed
一覧,List
大正,Taisho
区間,section
能力,ability
支配,control
有名,famous
銀行,bank
新聞,newspaper
翌年,following year
空港,airport
由来,Origin
競馬,horse racing
学者,scholar
韓国,South Korea
自ずから,naturally
産業,industry
整備,Maintenance
口,mouth
史,history
行政,administration
試験,test
明,Akira
妻,wife
ニューヨーク,new york
方式,method
発展,development
枠,frame
丸,circle
ジョン,john
状況,situation
基づく,based on
主要,major
既に,already
変化,change
神社,shrine
違う,different
当,Current
右,right
両,both
対戦,match
制度,system
広い,wide
番号,number
戻る,return
成立,Established
港,port
新,new
通信,communication
内,Inside
連載,Serialization
装置,Device
後半,second half
頃,Around the time
移動,move
企画,plan
電気,electricity
平均,average
庁,Agency
プレー,play
掲載,publish
清,Qing
祭,festival
民,people
南部,southern
サイト,site
距離,distance
分類,classification
種類,kinds
スーパー,super
男性,male
風,wind
福岡,Fukuoka
状,condition
形成,formation
階,floor
差,difference
付近,Nearby
師,teacher
言語,language
元年,first year
登録,Registration
物語,story
まま,Mama
工場,factory
主張,claim
大臣,minister
含める,include
自然,nature
装備,equipment
丘,hill
迎える,welcome
属,genus
開く,open
撮影,photograph
系列,series
近い,close
以後,From now on
事故,accident
正式,formal
成績,Grades
旧,old
路,road
複数,multiple
美術,art
雑誌,magazine
論,theory
電車,train
初代,first generation
設ける,establish
帯,band
家,house
述べる,state
写真,photograph
地球,earth
政権,administration
蔵,Storehouse
競走,race
起こる,happen
惑星,planet
学ぶ,learn
県立,Prefectural
部門,Department
中継,relay
王国,kingdom
末,end
千葉,Chiba
類,kind
表現,expression
動物,animal
司令,command
忠,Tadashi
鉄,iron
製品,product
支持,support
入れる,put in
ビル,building
組む,assemble
病院,hospital
方,direction
乗る,get on
艦隊,fleet
経験,experience
秋,autumn
地上,above ground
メートル,meter
竜,dragon
指す,point
横浜,Yokohama
復帰,return
語る,talk
条件,conditions
将軍,general
ファン,fan
敗れる,be defeated
名古屋,Nagoya
称する,call
学生,student
劇場,theater
選出,election
行動,action
心,heart
言葉,words
クラス,class
弾,Bullet
久,long
森,forest
紹介,introduction
客,customer
率いる,lead
着る,wear
少年,boy
失う,lose
拡大,expansion
姿,figure
尾,tail
政策,policy
敵,enemy
専用,exclusive
年頃,Around the year
軍事,military
宮,Palace
このよう,like this
編集,edit
相手,partner
大形,large size
進出,advance
保,Protection
イベント,event
文学,literature
着,Arrival
ダム,dam
反対,Opposition
保護,protection
進める,proceed
程,degree
女,woman
追加,addition
湖,lake
俳優,actor
メーカー,Manufacturer
人々,people
界,world
開業,Opening of business
林,Hayashi
工事,construction
継ぐ,inherit
現代,present day
表す,represent
方向,direction
学部,Faculty
確認,confirmation
立つ,stand
記述,description
直接,directly
又は,or
個人,individual
事実,fact
統合,integration
見せる,show
オリジナル,original
配置,arrangement
従来,Conventional
批判,criticism
国立,national
会長,chairman
住む,live
定める,stipulate
条約,treaty
増加,increase
北部,northern
近年,recent years
夫,husband
唯一,only
業,Business
息子,son
決める,decide
候補,candidate
過去,past
映像,picture
普通,usually
堂,Hall
白,white
芸術,art
作家,writer
パリ,Paris
途中,in the middle
相,phase
取得,acquisition
字,character
戦後,postwar
効果,effect
地元,local
得点,score
トップ,top
ライブ,live
僅か,slightly
章,chapter
報告,report
女優,actress
朝鮮,Korea
標準,standard
集,collection
吉,Kichi
赤,red
項,term
ロンドン,london
観光,sightseeing
目指す,aim
コンピューター,computer
ソ連,USSR
器,vessel
離れる,leave
べし,Must
声,voice
防衛,defense
起こす,wake up
住民,residents
革命,revolution
インド,India
徳,virtue
電話,phone
直,straight
各地,various places
内閣,cabinet
限定,limited
王座,throne
ロック,rock
店舗,store
新潟,Niigata
本線,Main line
黒,black
弟,younger brother
波,wave
博士,doctor
湾,bay
規定,regulations
流,style
核,nuclear
外国,foreign country
ニュース,news
法律,law
紀元,A.D.
太,Thick
変わる,change
協力,cooperation
読む,read
社長,president
業務,business
集める,collect
電子,electronic
低い,low
市民,citizen
不明,not clear
創設,Founding
楽曲,songs
台湾,Taiwan
本名,real name
比べる,compare
欧州,Europe
家族,family
系統,system
自動,automatic
止まる,stop
速度,speed
民族,ethnicity
そのまま,As is
知,knowledge
夜,night
余り,remainder
オープン,open
現れる,appear
分野,field
勢力,force
伝える,tell
ソフト,soft
統一,unification
生物,living thing
大,large
太平洋,pacific ocean
ヒット,hit
超える,exceed
土地,land
制御,control
動く,move
太郎,Taro
九州,Kyushu
職,job
歌手,singer
元々,originally